filepath,label
archive\scissors\scissors_576.png,scissors
archive\paper\paper_841.png,paper
archive\scissors\scissors_32.png,scissors
archive\paper\paper_408.png,paper
archive\scissors\scissors_37.png,scissors
archive\rock\rock_260.png,rock
archive\scissors\scissors_115.png,scissors
archive\scissors\scissors_725.png,scissors
archive\paper\paper_608.png,paper
archive\paper\paper_891.png,paper
archive\paper\paper_552.png,paper
archive\paper\paper_710.png,paper
archive\paper\paper_563.png,paper
archive\rock\rock_133.png,rock
archive\paper\paper_300.png,paper
archive\paper\paper_521.png,paper
archive\rock\rock_243.png,rock
archive\paper\paper_786.png,paper
archive\scissors\scissors_877.png,scissors
archive\scissors\scissors_878.png,scissors
archive\rock\rock_528.png,rock
archive\rock\rock_603.png,rock
archive\rock\rock_303.png,rock
archive\scissors\scissors_720.png,scissors
archive\paper\paper_383.png,paper
archive\rock\rock_862.png,rock
archive\scissors\scissors_436.png,scissors
archive\scissors\scissors_502.png,scissors
archive\rock\rock_18.png,rock
archive\rock\rock_273.png,rock
archive\rock\rock_262.png,rock
archive\scissors\scissors_407.png,scissors
archive\paper\paper_45.png,paper
archive\paper\paper_83.png,paper
archive\rock\rock_352.png,rock
archive\scissors\scissors_398.png,scissors
archive\rock\rock_124.png,rock
archive\rock\rock_554.png,rock
archive\scissors\scissors_235.png,scissors
archive\rock\rock_592.png,rock
archive\rock\rock_225.png,rock
archive\scissors\scissors_8.png,scissors
archive\scissors\scissors_676.png,scissors
archive\paper\paper_484.png,paper
archive\rock\rock_70.png,rock
archive\paper\paper_131.png,paper
archive\paper\paper_678.png,paper
archive\scissors\scissors_792.png,scissors
archive\scissors\scissors_179.png,scissors
archive\scissors\scissors_888.png,scissors
archive\paper\paper_794.png,paper
archive\rock\rock_721.png,rock
archive\scissors\scissors_304.png,scissors
archive\rock\rock_317.png,rock
archive\scissors\scissors_272.png,scissors
archive\rock\rock_782.png,rock
archive\scissors\scissors_476.png,scissors
archive\paper\paper_20.png,paper
archive\paper\paper_870.png,paper
archive\rock\rock_140.png,rock
archive\scissors\scissors_239.png,scissors
archive\rock\rock_460.png,rock
archive\paper\paper_861.png,paper
archive\rock\rock_121.png,rock
archive\rock\rock_888.png,rock
archive\paper\paper_719.png,paper
archive\paper\paper_877.png,paper
archive\paper\paper_551.png,paper
archive\rock\rock_743.png,rock
archive\rock\rock_230.png,rock
archive\rock\rock_875.png,rock
archive\scissors\scissors_617.png,scissors
archive\rock\rock_68.png,rock
archive\scissors\scissors_230.png,scissors
archive\scissors\scissors_83.png,scissors
archive\scissors\scissors_651.png,scissors
archive\rock\rock_24.png,rock
archive\paper\paper_178.png,paper
archive\paper\paper_756.png,paper
archive\paper\paper_73.png,paper
archive\rock\rock_807.png,rock
archive\rock\rock_582.png,rock
archive\scissors\scissors_414.png,scissors
archive\scissors\scissors_9.png,scissors
archive\rock\rock_293.png,rock
archive\paper\paper_811.png,paper
archive\rock\rock_795.png,rock
archive\rock\rock_789.png,rock
archive\paper\paper_329.png,paper
archive\scissors\scissors_815.png,scissors
archive\rock\rock_492.png,rock
archive\scissors\scissors_768.png,scissors
archive\rock\rock_480.png,rock
archive\scissors\scissors_426.png,scissors
archive\rock\rock_798.png,rock
archive\rock\rock_192.png,rock
archive\scissors\scissors_256.png,scissors
archive\paper\paper_216.png,paper
archive\rock\rock_450.png,rock
archive\paper\paper_325.png,paper
archive\paper\paper_185.png,paper
archive\paper\paper_135.png,paper
archive\scissors\scissors_629.png,scissors
archive\scissors\scissors_35.png,scissors
archive\rock\rock_186.png,rock
archive\scissors\scissors_80.png,scissors
archive\scissors\scissors_241.png,scissors
archive\rock\rock_510.png,rock
archive\paper\paper_27.png,paper
archive\rock\rock_846.png,rock
archive\paper\paper_438.png,paper
archive\scissors\scissors_286.png,scissors
archive\scissors\scissors_511.png,scissors
archive\scissors\scissors_130.png,scissors
archive\paper\paper_839.png,paper
archive\scissors\scissors_390.png,scissors
archive\paper\paper_874.png,paper
archive\scissors\scissors_521.png,scissors
archive\rock\rock_876.png,rock
archive\paper\paper_886.png,paper
archive\rock\rock_219.png,rock
archive\rock\rock_253.png,rock
archive\rock\rock_90.png,rock
archive\scissors\scissors_741.png,scissors
archive\paper\paper_565.png,paper
archive\scissors\scissors_543.png,scissors
archive\paper\paper_559.png,paper
archive\rock\rock_578.png,rock
archive\scissors\scissors_597.png,scissors
archive\scissors\scissors_512.png,scissors
archive\scissors\scissors_552.png,scissors
archive\paper\paper_130.png,paper
archive\scissors\scissors_616.png,scissors
archive\scissors\scissors_57.png,scissors
archive\paper\paper_77.png,paper
archive\rock\rock_790.png,rock
archive\rock\rock_229.png,rock
archive\rock\rock_119.png,rock
archive\scissors\scissors_264.png,scissors
archive\paper\paper_447.png,paper
archive\paper\paper_469.png,paper
archive\rock\rock_3.png,rock
archive\scissors\scissors_699.png,scissors
archive\paper\paper_553.png,paper
archive\scissors\scissors_702.png,scissors
archive\scissors\scissors_812.png,scissors
archive\rock\rock_475.png,rock
archive\paper\paper_244.png,paper
archive\rock\rock_880.png,rock
archive\rock\rock_288.png,rock
archive\paper\paper_359.png,paper
archive\rock\rock_107.png,rock
archive\rock\rock_327.png,rock
archive\paper\paper_675.png,paper
archive\paper\paper_445.png,paper
archive\scissors\scissors_834.png,scissors
archive\rock\rock_275.png,rock
archive\paper\paper_558.png,paper
archive\paper\paper_118.png,paper
archive\scissors\scissors_663.png,scissors
archive\scissors\scissors_12.png,scissors
archive\scissors\scissors_327.png,scissors
archive\rock\rock_496.png,rock
archive\paper\paper_568.png,paper
archive\rock\rock_756.png,rock
archive\paper\paper_603.png,paper
archive\paper\paper_462.png,paper
archive\rock\rock_329.png,rock
archive\rock\rock_588.png,rock
archive\scissors\scissors_13.png,scissors
archive\paper\paper_531.png,paper
archive\rock\rock_722.png,rock
archive\paper\paper_471.png,paper
archive\paper\paper_864.png,paper
archive\scissors\scissors_584.png,scissors
archive\paper\paper_292.png,paper
archive\paper\paper_753.png,paper
archive\rock\rock_469.png,rock
archive\rock\rock_280.png,rock
archive\rock\rock_806.png,rock
archive\scissors\scissors_214.png,scissors
archive\paper\paper_869.png,paper
archive\rock\rock_127.png,rock
archive\paper\paper_632.png,paper
archive\scissors\scissors_678.png,scissors
archive\rock\rock_160.png,rock
archive\rock\rock_451.png,rock
archive\scissors\scissors_40.png,scissors
archive\rock\rock_227.png,rock
archive\scissors\scissors_715.png,scissors
archive\rock\rock_766.png,rock
archive\rock\rock_564.png,rock
archive\scissors\scissors_659.png,scissors
archive\scissors\scissors_626.png,scissors
archive\scissors\scissors_143.png,scissors
archive\scissors\scissors_282.png,scissors
archive\paper\paper_799.png,paper
archive\rock\rock_387.png,rock
archive\paper\paper_354.png,paper
archive\scissors\scissors_657.png,scissors
archive\paper\paper_155.png,paper
archive\rock\rock_438.png,rock
archive\paper\paper_24.png,paper
archive\paper\paper_64.png,paper
archive\paper\paper_803.png,paper
archive\paper\paper_541.png,paper
archive\paper\paper_497.png,paper
archive\paper\paper_747.png,paper
archive\scissors\scissors_323.png,scissors
archive\scissors\scissors_56.png,scissors
archive\paper\paper_715.png,paper
archive\scissors\scissors_695.png,scissors
archive\rock\rock_256.png,rock
archive\paper\paper_163.png,paper
archive\paper\paper_404.png,paper
archive\rock\rock_50.png,rock
archive\paper\paper_824.png,paper
archive\scissors\scissors_415.png,scissors
archive\scissors\scissors_863.png,scissors
archive\paper\paper_213.png,paper
archive\rock\rock_366.png,rock
archive\rock\rock_817.png,rock
archive\scissors\scissors_673.png,scissors
archive\rock\rock_4.png,rock
archive\scissors\scissors_572.png,scissors
archive\scissors\scissors_544.png,scissors
archive\scissors\scissors_773.png,scissors
archive\rock\rock_386.png,rock
archive\paper\paper_294.png,paper
archive\scissors\scissors_827.png,scissors
archive\scissors\scissors_227.png,scissors
archive\paper\paper_814.png,paper
archive\scissors\scissors_668.png,scissors
archive\scissors\scissors_293.png,scissors
archive\rock\rock_413.png,rock
archive\rock\rock_560.png,rock
archive\rock\rock_527.png,rock
archive\rock\rock_134.png,rock
archive\scissors\scissors_762.png,scissors
archive\paper\paper_436.png,paper
archive\scissors\scissors_759.png,scissors
archive\scissors\scissors_6.png,scissors
archive\rock\rock_594.png,rock
archive\paper\paper_194.png,paper
archive\scissors\scissors_774.png,scissors
archive\rock\rock_773.png,rock
archive\rock\rock_563.png,rock
archive\paper\paper_751.png,paper
archive\rock\rock_57.png,rock
archive\rock\rock_866.png,rock
archive\paper\paper_236.png,paper
archive\paper\paper_385.png,paper
archive\paper\paper_901.png,paper
archive\paper\paper_682.png,paper
archive\rock\rock_147.png,rock
archive\paper\paper_885.png,paper
archive\scissors\scissors_99.png,scissors
archive\rock\rock_655.png,rock
archive\rock\rock_129.png,rock
archive\rock\rock_422.png,rock
archive\paper\paper_873.png,paper
archive\rock\rock_693.png,rock
archive\paper\paper_228.png,paper
archive\rock\rock_713.png,rock
archive\scissors\scissors_480.png,scissors
archive\paper\paper_102.png,paper
archive\scissors\scissors_259.png,scissors
archive\scissors\scissors_242.png,scissors
archive\paper\paper_750.png,paper
archive\paper\paper_234.png,paper
archive\scissors\scissors_215.png,scissors
archive\scissors\scissors_394.png,scissors
archive\paper\paper_308.png,paper
archive\paper\paper_571.png,paper
archive\paper\paper_274.png,paper
archive\rock\rock_333.png,rock
archive\paper\paper_609.png,paper
archive\rock\rock_640.png,rock
archive\scissors\scissors_420.png,scissors
archive\scissors\scissors_360.png,scissors
archive\scissors\scissors_189.png,scissors
archive\paper\paper_189.png,paper
archive\paper\paper_652.png,paper
archive\scissors\scissors_144.png,scissors
archive\scissors\scissors_735.png,scissors
archive\paper\paper_243.png,paper
archive\rock\rock_865.png,rock
archive\rock\rock_390.png,rock
archive\rock\rock_142.png,rock
archive\rock\rock_852.png,rock
archive\rock\rock_380.png,rock
archive\rock\rock_822.png,rock
archive\paper\paper_341.png,paper
archive\paper\paper_412.png,paper
archive\paper\paper_846.png,paper
archive\scissors\scissors_380.png,scissors
archive\paper\paper_446.png,paper
archive\rock\rock_821.png,rock
archive\scissors\scissors_570.png,scissors
archive\scissors\scissors_91.png,scissors
archive\scissors\scissors_21.png,scissors
archive\paper\paper_514.png,paper
archive\scissors\scissors_225.png,scissors
archive\scissors\scissors_563.png,scissors
archive\scissors\scissors_357.png,scissors
archive\paper\paper_506.png,paper
archive\rock\rock_72.png,rock
archive\scissors\scissors_665.png,scissors
archive\scissors\scissors_237.png,scissors
archive\rock\rock_514.png,rock
archive\paper\paper_657.png,paper
archive\rock\rock_498.png,rock
archive\scissors\scissors_559.png,scissors
archive\rock\rock_615.png,rock
archive\rock\rock_228.png,rock
archive\rock\rock_103.png,rock
archive\paper\paper_664.png,paper
archive\paper\paper_701.png,paper
archive\rock\rock_178.png,rock
archive\rock\rock_768.png,rock
archive\paper\paper_367.png,paper
archive\rock\rock_385.png,rock
archive\rock\rock_745.png,rock
archive\paper\paper_491.png,paper
archive\paper\paper_434.png,paper
archive\rock\rock_318.png,rock
archive\scissors\scissors_686.png,scissors
archive\paper\paper_22.png,paper
archive\scissors\scissors_367.png,scissors
archive\paper\paper_857.png,paper
archive\paper\paper_261.png,paper
archive\paper\paper_669.png,paper
archive\paper\paper_192.png,paper
archive\scissors\scissors_347.png,scissors
archive\rock\rock_350.png,rock
archive\rock\rock_426.png,rock
archive\paper\paper_326.png,paper
archive\rock\rock_520.png,rock
archive\rock\rock_512.png,rock
archive\scissors\scissors_456.png,scissors
archive\paper\paper_649.png,paper
archive\rock\rock_765.png,rock
archive\paper\paper_9.png,paper
archive\scissors\scissors_397.png,scissors
archive\scissors\scissors_211.png,scissors
archive\paper\paper_271.png,paper
archive\paper\paper_762.png,paper
archive\rock\rock_677.png,rock
archive\scissors\scissors_707.png,scissors
archive\paper\paper_896.png,paper
archive\paper\paper_195.png,paper
archive\scissors\scissors_400.png,scissors
archive\paper\paper_789.png,paper
archive\rock\rock_809.png,rock
archive\rock\rock_463.png,rock
archive\rock\rock_742.png,rock
archive\paper\paper_84.png,paper
archive\rock\rock_144.png,rock
archive\rock\rock_786.png,rock
archive\rock\rock_870.png,rock
archive\rock\rock_299.png,rock
archive\scissors\scissors_488.png,scissors
archive\rock\rock_218.png,rock
archive\paper\paper_429.png,paper
archive\rock\rock_71.png,rock
archive\scissors\scissors_475.png,scissors
archive\paper\paper_440.png,paper
archive\scissors\scissors_717.png,scissors
archive\scissors\scissors_316.png,scissors
archive\paper\paper_245.png,paper
archive\scissors\scissors_532.png,scissors
archive\paper\paper_513.png,paper
archive\scissors\scissors_539.png,scissors
archive\rock\rock_310.png,rock
archive\rock\rock_565.png,rock
archive\paper\paper_821.png,paper
archive\rock\rock_301.png,rock
archive\paper\paper_242.png,paper
archive\scissors\scissors_423.png,scissors
archive\rock\rock_896.png,rock
archive\scissors\scissors_851.png,scissors
archive\paper\paper_14.png,paper
archive\rock\rock_634.png,rock
archive\scissors\scissors_96.png,scissors
archive\paper\paper_795.png,paper
archive\rock\rock_761.png,rock
archive\paper\paper_202.png,paper
archive\paper\paper_706.png,paper
archive\rock\rock_166.png,rock
archive\paper\paper_123.png,paper
archive\scissors\scissors_782.png,scissors
archive\paper\paper_181.png,paper
archive\scissors\scissors_746.png,scissors
archive\paper\paper_784.png,paper
archive\paper\paper_689.png,paper
archive\scissors\scissors_107.png,scissors
archive\paper\paper_28.png,paper
archive\rock\rock_224.png,rock
archive\scissors\scissors_90.png,scissors
archive\rock\rock_254.png,rock
archive\scissors\scissors_118.png,scissors
archive\paper\paper_523.png,paper
archive\paper\paper_34.png,paper
archive\rock\rock_300.png,rock
archive\rock\rock_108.png,rock
archive\scissors\scissors_494.png,scissors
archive\scissors\scissors_75.png,scissors
archive\scissors\scissors_703.png,scissors
archive\rock\rock_851.png,rock
archive\paper\paper_21.png,paper
archive\rock\rock_738.png,rock
archive\rock\rock_215.png,rock
archive\rock\rock_572.png,rock
archive\scissors\scissors_828.png,scissors
archive\rock\rock_849.png,rock
archive\rock\rock_169.png,rock
archive\scissors\scissors_666.png,scissors
archive\scissors\scissors_100.png,scissors
archive\rock\rock_684.png,rock
archive\paper\paper_370.png,paper
archive\paper\paper_604.png,paper
archive\scissors\scissors_633.png,scissors
archive\rock\rock_87.png,rock
archive\paper\paper_372.png,paper
archive\rock\rock_868.png,rock
archive\scissors\scissors_750.png,scissors
archive\paper\paper_838.png,paper
archive\scissors\scissors_648.png,scissors
archive\scissors\scissors_176.png,scissors
archive\paper\paper_764.png,paper
archive\paper\paper_879.png,paper
archive\paper\paper_524.png,paper
archive\scissors\scissors_630.png,scissors
archive\paper\paper_473.png,paper
archive\rock\rock_423.png,rock
archive\paper\paper_493.png,paper
archive\paper\paper_111.png,paper
archive\rock\rock_559.png,rock
archive\rock\rock_360.png,rock
archive\paper\paper_306.png,paper
archive\scissors\scissors_606.png,scissors
archive\paper\paper_717.png,paper
archive\paper\paper_114.png,paper
archive\scissors\scissors_765.png,scissors
archive\paper\paper_132.png,paper
archive\rock\rock_136.png,rock
archive\scissors\scissors_533.png,scissors
archive\scissors\scissors_348.png,scissors
archive\scissors\scissors_405.png,scissors
archive\paper\paper_146.png,paper
archive\paper\paper_345.png,paper
archive\rock\rock_84.png,rock
archive\scissors\scissors_582.png,scissors
archive\scissors\scissors_375.png,scissors
archive\scissors\scissors_371.png,scissors
archive\scissors\scissors_529.png,scissors
archive\paper\paper_214.png,paper
archive\rock\rock_179.png,rock
archive\paper\paper_607.png,paper
archive\rock\rock_841.png,rock
archive\scissors\scissors_769.png,scissors
archive\rock\rock_621.png,rock
archive\paper\paper_277.png,paper
archive\rock\rock_231.png,rock
archive\scissors\scissors_146.png,scissors
archive\scissors\scissors_793.png,scissors
archive\paper\paper_315.png,paper
archive\rock\rock_99.png,rock
archive\scissors\scissors_567.png,scissors
archive\rock\rock_26.png,rock
archive\scissors\scissors_317.png,scissors
archive\scissors\scissors_709.png,scissors
archive\rock\rock_772.png,rock
archive\rock\rock_840.png,rock
archive\scissors\scissors_508.png,scissors
archive\paper\paper_714.png,paper
archive\paper\paper_88.png,paper
archive\scissors\scissors_34.png,scissors
archive\paper\paper_787.png,paper
archive\paper\paper_297.png,paper
archive\paper\paper_542.png,paper
archive\rock\rock_833.png,rock
archive\rock\rock_64.png,rock
archive\scissors\scissors_638.png,scissors
archive\rock\rock_901.png,rock
